[preflight] final level needs ~89.5 GiB on disk at /tmp/e010_central_ratio_ell18_scratch (disk-backed mode).
min_a g_ell(ell+d, a) / gbar_ell(ell+d); a dash marks an incomplete support
ell    d=+5     d=+12  |  d=1rt   || min over 1458 fixed integers at d=+5
-------------------------------------------------------------------------
  1       -       -  |       -  ||      nan (  2)   [   0.0s]
  2       -       -  |       -  ||      nan (  6)   [   0.0s]
  3       -       -  |       -  ||   0.0000 ( 18)   [   0.0s]
  4       -  0.3214  |       -  ||   0.0000 ( 54)   [   0.0s]
  5       -  0.4441  |       -  ||   0.0000 (162)   [   0.0s]
  6       -  0.4805  |       -  ||   0.0000 (486)   [   0.0s]
  7       -  0.4512  |       -  ||   0.0000 (1458)   [   0.0s]
  8       -  0.4484  |       -  ||   0.0000 (1458)   [   0.0s]
  9       -  0.4190  |       -  ||   0.1427 (1458)   [   0.0s]
 10  0.0509  0.3840  |       -  ||   0.1019 (1458)   [   0.0s]
 11  0.0368  0.3512  |       -  ||   0.0736 (1458)   [   0.4s]
 12  0.0536  0.3488  |       -  ||   0.1073 (1458)   [   0.7s]
 13  0.0197  0.3193  |       -  ||   0.0787 (1458)   [   2.0s]
 14  0.0435  0.2897  |       -  ||   0.1161 (1458)   [   6.7s]
 15  0.0215  0.2749  |       -  ||   0.1075 (1458)   [  26.4s]
 16  0.0240  0.2555  |       -  ||   0.0958 (1458)   [ 134.4s]
 17  0.0297  0.2378  |       -  ||   0.0892 (1458)   [ 485.4s]
 18  0.0266  0.2222  |       -  ||   0.0799 (1458)   [3961.0s]
