Calculando momentos exatos ate M_310...
  Momentos prontos em 20.2s

=== Validacao ===
  M1=1/2, M2=7/24 OK; momentos centrais impares (3,5,7,9) = 0 OK
  phi(1/2) calculado = 1.5000000000 (esperado 1.5), rel_err_cota=0.0e+00
  Validacao OK

=== Teste da Conjectura 3: ln(phi/phi0) e razao decisiva L_l ===
  ell      u      k_l     m       ln phi      ln phi0       ln r   L_l=phi(3x)/phi(x)*3^(1-l)    rel_err    tempo
    5   -2.0        1     4      -14.188      -13.510    -0.6785                     3.889789   0.00e+00     0.00s
    5   -1.0        3     3       -8.436       -7.797    -0.6386                     1.037037   0.00e+00     0.00s
    5   -0.5        4     3       -7.143       -6.521    -0.6217                     0.718644   0.00e+00     0.00s
    5    0.0        5     3       -6.211       -5.597    -0.6147                     0.539386   0.00e+00     0.00s
    5    0.5        6     3       -5.491       -4.884    -0.6076                     0.428850   0.00e+00     0.00s
    5    1.0        7     2       -4.907       -4.311    -0.5958                     0.354615   0.00e+00     0.00s
    5    2.0        9     2       -4.005       -3.438    -0.5667                     0.253968   0.00e+00     0.00s
   10   -2.0        4     8      -46.792      -46.060    -0.7321                     1.669359   0.00e+00     0.00s
   10   -1.0        7     7      -41.342      -40.616    -0.7265                     0.900322   0.00e+00     0.00s
   10   -0.5        8     7      -40.089      -39.363    -0.7263                     0.776332   0.00e+00     0.00s
   10    0.0       10     7      -38.035      -37.309    -0.7259                     0.606388   0.00e+00     0.00s
   10    0.5       12     7      -36.392      -35.668    -0.7243                     0.495595   0.00e+00     0.00s
   10    1.0       13     7      -35.682      -34.959    -0.7231                     0.453451   0.00e+00     0.00s
   10    2.0       16     7      -33.867      -33.148    -0.7198                     0.359597   0.00e+00     0.00s
   20   -2.0       11    17     -195.246     -194.501    -0.7449                     1.193114   0.00e+00     0.00s
   20   -1.0       16    17     -187.938     -187.192    -0.7455                     0.805184   0.00e+00     0.00s
   20   -0.5       18    17     -185.668     -184.922    -0.7458                     0.711584   0.00e+00     0.00s
   20    0.0       20    16     -183.649     -182.903    -0.7460                     0.637127   0.00e+00     0.00s
   20    0.5       22    16     -181.832     -181.085    -0.7460                     0.576500   0.00e+00     0.00s
   20    1.0       24    16     -180.180     -179.434    -0.7459                     0.526185   0.00e+00     0.00s
   20    2.0       29    16     -176.612     -175.867    -0.7454                     0.431319   0.00e+00     0.00s
   30   -2.0       19    26     -452.363     -451.625    -0.7376                     1.036777   0.00e+00     0.00s
   30   -1.0       25    26     -444.289     -443.551    -0.7383                     0.781039   0.00e+00     0.00s
   30   -0.5       27    26     -442.038     -441.299    -0.7385                     0.721412   0.00e+00     0.00s
   30    0.0       30    26     -438.965     -438.226    -0.7387                     0.647098   0.00e+00     0.00s
   30    0.5       33    26     -436.193     -435.455    -0.7388                     0.586487   0.00e+00     0.00s
